Slice,Area_Total(px),Densidad_Media(HU_prox)
355,7776,137.473
356,16790,133.834
357,10170,133.642
358,7205,144.105
359,8315,142.791
360,3200,148.317
361,6400,142.841
362,6272,144.827
363,9096,139.923
364,6684,144.086
365,6708,146.651
366,11406,133.323
367,7286,146.303
368,7302,147.148
369,6949,145.728
370,11499,135.128
371,7629,145.186
372,7414,143.543
373,7074,143.99
374,7249,145.315
375,7404,145.76
376,7124,146.714
377,8482,142.189
378,8411,141.76
379,10235,140.651
380,8605,145.576
381,8217,145.005
382,10895,139.463
383,9082,145.578
384,7865,143.077
385,9201,145.144
386,8435,146.237
387,8678,146.405
388,8655,147.298
389,8526,146.489
390,7836,149.249
391,8554,150.099
392,8219,148.483
393,8189,151.585
394,8030,151.894
395,8241,152.232
396,7961,151.356
397,7729,152.356
398,7467,156.009
399,6967,153.321
400,6697,159.3
401,6280,157.205
402,5935,162.134
403,5636,160.514
404,5554,161.196
405,5259,155.05
406,5374,160.378
407,5308,157.523
408,5358,160.128
409,5353,159.782
410,5324,155.698
411,5362,156.372
412,5337,156.244
413,5261,158.304
414,5439,155.404
415,5304,154.848
416,5131,153.691
417,5444,154.313
418,5538,151.838
419,5593,152.651
420,5711,154.357
421,5690,153.084
422,5782,152.507
423,5912,150.066
424,5938,145.113
425,6130,149.21
426,6185,148.314
427,6321,147.942
428,6404,145.012
429,6500,145.423
430,6331,140.504
431,6412,141.837
432,6694,141.639
433,6929,144.404
434,7107,146.272
435,7290,146.052
436,7501,147.679
437,7734,150.241
438,7976,155.01
439,8080,154.646
440,8204,154.416
441,8145,147.917
442,8503,150.233
443,8759,152.346
444,8843,149.196
445,8625,148.603
446,8702,148.679
447,8874,147.662
448,8870,146.162
449,8946,148.991
450,9003,142.897
451,9048,145.226
452,9014,144.142
453,8963,141.43
454,9042,141.557
455,8559,145.022
456,8662,144.34
457,8255,139.773
458,7773,141.797
459,8255,142.066
460,8093,136.858
461,6885,134.562
462,9420,140.509
463,9030,142.719
464,7494,136.735
465,7960,139.476
466,10139,144.347
467,9637,146.103
468,9417,145.465
469,8605,144.654
470,9377,143.321
471,11365,148.879
472,12029,148.261
473,12716,153.049
474,13056,146.131
475,12296,143.827
476,10865,144.913
477,12402,143.685
478,10357,143.817
479,12510,144.008
480,8220,143.902
481,10177,142.23
482,10515,140.168
483,9090,139.802
484,8323,141.3
485,9327,144.044
486,11127,142.393
487,11275,137.703
488,11421,138.08
489,11746,138.745
490,11499,134.987
491,9822,137.777
492,11755,141.621
493,10941,135.558
494,11233,138.058
495,10915,136.394
496,10708,137.631
497,10515,139.374
498,10015,135.826
499,9930,137.252
500,9645,133.113
501,9416,134.549
502,9316,136.787
503,6073,135.256
504,5883,134.983
505,8729,133.815
506,8511,131.913
507,3123,140.645
508,3097,141.357
509,5844,132.801
510,2995,139.172
511,5783,133.032
512,2928,138.8
513,2857,137.494
514,5556,131.754
515,2735,137.152
516,8209,130.552
517,8164,131.177
518,8072,130.27
519,8022,130.244
520,7989,129.933
521,5976,136.51
522,6002,137.499
523,6042,138.976
524,8006,134.417
525,7961,133.51
526,8076,135.643
527,6263,141.619
528,8040,136.104
529,8020,135.382
530,8003,137.869
531,6382,143.386
532,7915,137.006
533,7678,135.885
534,6109,141.645
535,7464,138.488
536,7389,139.622
537,7218,137.054
538,5396,143.845
539,6842,136.248
540,6611,138.541
541,6607,141.281
542,6349,142.792
543,6041,140.355
544,5914,140.536
545,5695,139.879
546,5441,138.728
547,5281,139.477
548,5035,139.816
549,4870,140.914
550,4700,140.686
551,3919,135.833
552,4362,137.422
553,4351,145.815
554,4173,146.555
555,3934,139.392
556,3892,144.613
557,3867,144.19
558,3806,144.868
559,3729,143.559
560,3713,146.475
561,3625,149.057
562,3553,150.371
563,3513,153.55
564,3430,152.113
565,3369,152.862
566,3274,153.314
567,3203,151.497
